post_id	post_name	status	price_from	price_to
17332	4435-revision-v1	inherit	2936	7906
17399	16699-revision-v1	inherit	2700000	
17400	16699-revision-v1	inherit	2700000	
17411	16699-revision-v1	inherit	2700000	
17412	16699-revision-v1	inherit	7000	6000
17413	4473-revision-v1	inherit	8000	12000
17414	16699-revision-v1	inherit	2900000	
17450	4435-revision-v1	inherit	2936	7906
17452	4435-revision-v1	inherit	2936	7906
17505	3186-revision-v1	inherit	3365	7540
17251	3186-autosave-v1	inherit	3365	7540
17532	16699-revision-v1	inherit	8190	11700
17534	16699-revision-v1	inherit	11700	
17536	4473-revision-v1	inherit	8190	11700
17548	4473-revision-v1	inherit	8190	11700
17552	4473-revision-v1	inherit	8190	11700
17665	2782-revision-v1	inherit	3153	1001
17667	6998-revision-v1	inherit	5481	14134
17669	9082-revision-v1	inherit	2911	7603
17670	2818-revision-v1	inherit	3162	8410
17671	3186-revision-v1	inherit	3394	7604
17672	4067-revision-v1	inherit	3402	7622
17673	2894-revision-v1	inherit	2225	6094
17674	3322-revision-v1	inherit	2471	5151
17675	9998-revision-v1	inherit	3635	9811
17676	3155-revision-v1	inherit	2961	6669
17677	3524-revision-v1	inherit	2935	6765
17678	3174-revision-v1	inherit	2841	5791
17679	4435-revision-v1	inherit	2962	7974
17825	3524-revision-v1	inherit	2935	6765
17826	3524-revision-v1	inherit	2935	6765
17828	3524-revision-v1	inherit	2935	6765
17831	3524-revision-v1	inherit	2935	6765
17832	3524-revision-v1	inherit	2935	6765
17835	3174-revision-v1	inherit	2841	5791
17836	3174-revision-v1	inherit	2841	5791
17841	3186-revision-v1	inherit	3394	7604
17843	9082-revision-v1	inherit	2911	7603
17844	3524-revision-v1	inherit	2935	6765
17845	3186-revision-v1	inherit	3394	7604
17846	9082-revision-v1	inherit	2911	7603
17847	3174-revision-v1	inherit	2841	5791
17978	2782-revision-v1	inherit	3397	10809
17979	16699-revision-v1	inherit	5057	10088
17980	6998-revision-v1	inherit	5923	15286
17981	9082-revision-v1	inherit	3992	9339
17982	2818-revision-v1	inherit	3549	
17983	3186-revision-v1	inherit	3657	8047
17984	4067-revision-v1	inherit	3548	8014
17985	2894-revision-v1	inherit	2399	6581
17986	3322-revision-v1	inherit	2657	5564
17987	3155-revision-v1	inherit	3149	7105
17989	3524-revision-v1	inherit	3168	7305
17990	3174-revision-v1	inherit	3065	6922
17991	4435-revision-v1	inherit	3190	8622
17992	2818-revision-v1	inherit	3549	9093
17994	4473-revision-v1	inherit	5355	10115
17996	3155-revision-v1	inherit	3149	7105
17998	3155-revision-v1	inherit	3149	7105
18000	3155-revision-v1	inherit	3149	7105
18002	16699-revision-v1	inherit	5142	10258
18003	2782-revision-v1	inherit	3456	10995
18004	6998-revision-v1	inherit	6022	15542
18005	9082-revision-v1	inherit	4300	9496
18006	2818-revision-v1	inherit	3608	9240
18007	3186-revision-v1	inherit	3718	8182
18008	4067-revision-v1	inherit	3608	8148
18009	2894-revision-v1	inherit	2439	6691
18010	3322-revision-v1	inherit	2702	5658
18011	3155-revision-v1	inherit	3202	7225
18012	3524-revision-v1	inherit	3221	7429
18013	3174-revision-v1	inherit	3117	7039
18014	4435-revision-v1	inherit	3244	8766
18015	4473-revision-v1	inherit	5445	10285
18125	stunning-villa-in-playa-den-bossa	draft	1833	5463
18183	18125-revision-v1	inherit	1833	5463
18185	18125-revision-v1	inherit	1833	5463
18186	18125-revision-v1	inherit	1833	5463
18187	18125-revision-v1	inherit	1833	5463
18188	18125-revision-v1	inherit	1833	5463
18189	18125-revision-v1	inherit	1833	5463
18190	18125-revision-v1	inherit	1833	5463
18191	18125-revision-v1	inherit	1833	5463
18192	18125-revision-v1	inherit	1833	5463
